Date,Temperature,Unit,Forecast
12/8/2024,32,F,Sunny
12/9/2024,15,F,Mostly Clear
12/10/2024,36,F,Mostly Sunny
12/11/2024,25,F,Mostly Cloudy
12/12/2024,40,F,Slight Chance Light Snow then Chance Light Rain
12/13/2024,35,F,Light Rain Likely
12/14/2024,56,F,Light Rain
12/15/2024,30,F,Chance Light Rain then Partly Cloudy
12/16/2024,46,F,Mostly Sunny
12/17/2024,31,F,Chance Light Rain
12/18/2024,44,F,Light Rain Likely
12/19/2024,28,F,Chance Light Rain then Chance Light Snow
12/20/2024,37,F,Chance Light Snow then Chance Light Rain
